tik_codigo,descripcion,propietario,categoria,ans,nombre_cliente,Linea_Negocio,new_category,new_descripcion
TKT10038,Por parte del Ing Victor pinto se requiere crear 25 ordenes de Disponibilidad la cuales deben tener fecha de Solicitud y Gestión del 28 de febrero de 2019.,1032459195,,SS,Codensa,Geolumina,,parte ing victor pinto requiere crear ordenes disponibilidad cuales deben tener fecha solicitud gestion febrero
TKT10040,Se requiere cambiar el líder de  la cuadrilla 2 al tecnólogo José Isidro Salamanca Parra identificado con cédula de ciudadanía 79702413,1032459195,,SS,Codensa,Geolumina,,requiere cambiar lider cuadrilla tecnolog jose sido salamanca parra identificado cedula ciudadania
TKT10043,LLAMADA ENTRANTE,1058818488,,,Codensa,Geolumina,,llamada entrante
TKT10044,LLAMADA ENTRANTE,1053828550,,,Applus Norcontrol Panamá S.A,Geolumina,,llamada entrante
TKT10045,Se requiere de su amable colaboracion para que en la OT_1024136 se adjunte el archivo,1032459195,,SS,Codensa,Geolumina,,requiere amable colaboración ot_1024136 adjunto archivo
TKT10046,"avor realizar la reparametrización de los baremos en las actividades descritas en el archivo adjunto esto inicialmente para BT, adicional a esto revisar si se requiere ajuste en MT.",1032459195,,SS,Codensa,Geolumina,,avor realizar reparametrizacion haremos actividades descritas archivo adjunto inicialmente bt adicional revisar si requiere ajuste mt
TKT10047,"OTs de Metro sin Estado en el reporte/No existen en Geolumina. Según lo hablado por Skype, te Adjunto el reporte de órdenes de trabajo de zona metro, donde existen OTs que no tienen estado pero al buscarlas en consultas o en el visor me doy cuenta que no existen.",1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,ots metro reporte existen geolumina segun hablado skype adjunto reporte ordenes trabajo zona metro existen ots buscarlas consultas visor doy cuenta existen
TKT10048,ASESORIA,1032459195,,,Codensa,Geolumina,,asesoria
TKT10049,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT10050,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT11183,"me permito solicitar que por favor se modifique el embalaje del Cliente Llamado Hospital San Juan de Dios de Yarumal, teniendo en cuenta que presentan una bolsa doméstica y los conductores en la tablet siempre eligen la opción de bolsa industrial, La petición es para cambiar el embalaje en todas las solicitudes realizadas hasta la fecha.",1053830949,,SS,Sociedad aguas del norte antioqueno,Geoaseo,,permito solicitar favor modifique embalaje cliente llamado hospital san juan dios saruman cuenta presentan bolsa domestica conductores tablet siempre eligen opción bolsa industrial petición cambiar embalaje todas solicitudes realizadas fecha
TKT10051,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT10052,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT10053,ASESORIA,1032459195,,,Codensa,Geolumina,,asesoria
TKT8511,"Se presenta el siguiente error en la OT_1005053 ,la cual no permite ver el historial de devoluciones  ni en el perfil del gestionador o el  solicitante  Usuario solicitante :491368 Usuaria gestionador :1016024987",1032459195,,NR,Codensa,Geolumina,,presenta siguiente error ot_1005053 permite ver historial devoluciones perfil gestionado solicitante usuario solicitante usuaria gestionado
TKT10057,Solicito de su amable colaboración en la OT_1023224   OT fue rechazada pero el solicitante no puede visualizar el rechazo.,1032459195,,NCB,Codensa,Geolumina,,solicito amable colaboración ot_1023224 ot rechazada solicitante puede visualizar rechazo
TKT10058,EMAIL,1053828550,,,Applus Norcontrol Panamá S.A,Geolumina,,email
TKT10061,"Hay lentitud en zona oeste, la capa ABT esta lenta para responder.",1053828550,,NCB,Applus Norcontrol Panamá S.A,Geolumina,,lentitud zona oeste capa at lenta responder
TKT10062,verificar mapa de perfiles de supervisores,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,verificar mapa perfiles supervisores
TIK1807,Solicitoporfavoreditarloscodigodelosticketdebasculaenelarchivoadjunto,1053830949,Cambiar datos por BD,SS,Veolia (antiguo Grupo Sala),Geoaseo,Datos,solicitoporfavoreditarloscodigodelosticketdebasculaenelarchivoadjunto
TKT10064,Generar shp de la capa municipios de llanogas,1053828550,,SS,Llanogas,Geolumina,,generar she capa municipios llantas
TKT10065,OT_10061_BT_INTERIOR. Por favor ver incidencia. OT_10061 BT_INTERIOR.,1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,ot_10061_bt_interior favor ver incidencia ot_10061 bt_interior
TKT10066,"Por favor validar el combo del formulario residuos Tipo de Residuos, no carga todos los tipo",1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,favor validar combo formulario residuos tipo residuos carga tipo
TKT10067,Por favor eliminar la HREC 119948 de Cartagena que fue creada para dictar una capacitación.,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,favor eliminar rec cartagena creada dictar capacitación
TKT10068,LLAMADA ENTRANTE,1053830949,,,Veolia (antiguo Grupo Sala),Geoaseo,,llamada entrante
TKT10070,Informe actividades Marzo,1053847182,,SS,CAR de Caldas - Corpocaldas,Geoambiental,,informe actividades marzo
TIK1788,agradezco su colaboración para generar un reporte en un archivo con los recorridos de los vehículos de Honda y Mocoa,1053830949,Carga de datos masiva,CD,Veolia (antiguo Grupo Sala),Geoaseo,Datos,agradezco colaboración generar reporte archivo recorridos vehiculos honda mocos
TKT10073,Actualizacion y creacion de hojas de barrido,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,actualización creación hojas barrido
TKT10075,VIDEO,1053828550,,,Applus Norcontrol Panamá S.A,Geolumina,,video
TIK4816,"solicito su colaboración para generar un Reporte Diario Rutas de Recolección Detallado del 1 de enero al 31 de diciembre de 2018 y otro del 1 de enero de 2019 al 31 de diciembre de 2019 para la ciudad de Cartagena
",1053792868,Error al exportar reporte,NCC,Veolia (antiguo Grupo Sala),Geoaseo,Reporte,solicito colaboración generar reporte diario rutas recolección detallado enero diciembre enero diciembre ciudad cartagena
TKT10077,"Revisar cantidad de Datos en reporte. Por favor revisar la cantidad de datos que estan viniendo en el reporte, no es el mismo que sale en consultas de Geolumina, ni en el visor.",1053828550,,NCC,Applus Norcontrol Panamá S.A,Geolumina,,revisar cantidad datos reporte favor revisar cantidad datos estan viniendo reporte mismo sale consultas geolumina visor
TIK2780,Configuración y mejoras  modulo STM,1053860140,1- Nuevo requerimiento,NR,Codensa,Geolumina,Nuevo requerimiento,configuración mejoras modulo sam
TKT10081,"Se requiere colocar el siguiente comentario de devolucion:  Por favor verificar la información dentro de los archivos adjuntos, ya que se está duplicando la información  en las OTs: 1019596, 1019600, 1019605, 1019606, 1019610, 1019625 y 1019632.   a las siguientes ordenes   1019596  1019600  1019605  1019606  1019610  1019625    Con fecha de 8 de marzo del 201",1032459195,,SS,Codensa,Geolumina,,requiere colocar siguiente comentario devolución favor verificar información dentro archivos adjuntos duplicando información ots siguientes ordenes fecha marzo
TIK1810,Generar los formatos de aforo para marzo y hasta junio el client talcos,1053830949,,NR,Sociedad aguas del norte antioqueno,Geoaseo,,generar formatos aforo marzo junio client talcos
TKT10084,Se requiere subir el archivo adjunto a la orden OT_1022339 debido a que esta devuelta pero al momento de subir los archivo indica que esta en ejecución.,1032459195,,SS,Codensa,Geolumina,,requiere subir archivo adjunto orden ot_1022339 debido devuelta momento subir archivo indica ejecución
TKT10085,Se requiere realizar la modificación del campo observaciones como obligatorio en el módulo de levantamientos.,1032459195,,SS,Codensa,Geolumina,,requiere realizar modificación campo observaciones obligatorio modulo levantamientos
TIK1211,Informe de soporte Invama Mayo - Junio 2019,1053771474,1- Nuevo requerimiento,NR,INVAMA Instituto de Valorización de Manizales,Geolumina,Nuevo requerimiento,informe soporte invada mayo junio
TIK1961,Acta de reunión 13 de Agosto ,1053860140,,,Proyecta S.A,Geolumina,,acta reunion agosto
TKT10091,Se requiere pasar a estado gestionado las siguientes ordenes de trabajo.   OT_1020185  OT_1020422 OT_1021095,1032459195,,SS,Codensa,Geolumina,,requiere pasar gestionado siguientes ordenes trabajo ot_1020185 ot_1020422 ot_1021095
TIK2875,"En el dashboard Coor. Calidad dar la posibilidad de poder generar muestras para ordenes en estado Gestionada, en este momento solo esta para ordenes en estado facturada.",1053860140,1- Nuevo requerimiento,NR,Codensa,Geolumina,Nuevo requerimiento,dashboard color calidad dar posibilidad poder generar muestras ordenes gestionada momento solo ordenes facturada
TIK1753,"Por favor realizar la modificación del encabezado actual de  Formato de Orden de Trabajo de Veolia  Cucuta 
",1053830949,1- Nuevo requerimiento,NR,Veolia (antiguo Grupo Sala),Geoaseo,Nuevo requerimiento,favor realizar modificación encabezado actual formato orden trabajo verla cicuta
TKT10092,Agradezco de su gestión para incluir el icono de lupa en la caja de búsqueda del módulo Usuarios AIT en levantamiento BT AT ya que no sale para esos niveles de tensión.,1032459195,,NR,Codensa,Geolumina,,agradezco gestion incluir icono lupa caja busqueda modulo usuarios it levantamiento bt at sale niveles tension
TIK1542,agradezco su colaboración para generar un reporte en un archivo con los recorridos de los vehículos de Honda y Mocoa,1053830949,Cambiar datos por BD,SS,Veolia (antiguo Grupo Sala),Geoaseo,Datos,agradezco colaboración generar reporte archivo recorridos vehiculos honda mocos
TKT11733,Análisis Calidad y verificaciones,1058818488,,NR,Codensa,Geolumina,,analisis calidad verificaciones
TKT10097,Configurar capa AGUA,1053847182,,SS,CAR de Bogotá,Geoambiental,,configurar capa agua
TKT10098,Se requiere asignar puntos físicos a la cuadrilla 11 de postes y camaras,1032459195,,SS,Codensa,Geolumina,,requiere asignar puntos fisicos cuadrilla postes camaras
TKT10099,ASESORIA,1032459195,,,Codensa,Geolumina,,asesoria
TIK1209,"Se requiere subir las  fotos de la OT 1034280 la cual es no efectiva y las fotos no subieron a geolumina, muchas gracias",1032459195,Cambiar datos por BD,SS,Codensa,Geolumina,Datos,requiere subir fotos ot efectiva fotos subieron geolumina muchas gracias
TKT10100,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT10101,ASESORIA,1032459195,,,Codensa,Geolumina,,asesoria
TKT10102,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TKT10103,LLAMADA ENTRANTE,1032459195,,,Codensa,Geolumina,,llamada entrante
TIK1047,"Análisis documentos enviados por codensa, Anexo 42 y anexo 43. Objetivo finalizar análisis y desarrollo del modulo de ANS previamente iniciado. 
Indicadores Programación, Ejecución, PNC",1058818488,1- Nuevo requerimiento,NR,Codensa,Geolumina,Nuevo requerimiento,analisis documentos enviados condensa anexo anexo objetivo finalizar analisis desarrollo modulo ans previamente iniciado indicadores programación ejecución pc
TKT10104,Revisar capa de edicion de puntos en zona interior y oeste,1053828550,,NCA,Applus Norcontrol Panamá S.A,Geolumina,,revisar capa edición puntos zona interior oeste
TKT10105,Se requiere retirar de los puntos fisicos disponibles de las siguientes cuadrillas los siguientes puntos.  Cuadrilla # 4 26071982  Cuadrilla #1 26064212.,1032459195,,SS,Codensa,Geolumina,,requiere retirar puntos fisicos disponibles siguientes cuadrillas siguientes puntos cuadrilla cuadrilla
TKT10106,LLAMADA ENTRANTE,1053847182,,,CAR de Boyacá,Geoambiental,,llamada entrante
TKT10107,"Se requiere realizar los siguientes ajustes sobre las ordenes del archivo adjunto Horas_informes_cargue.xlsx   Existen dos órdenes que se encuentran en estado Cancelada,se deben dejar en ese estado. Existen tres órdenes conciliadas y facturadas con el Acta_004_A, a estas órdenes no se les debe hacer modificación en las cantidades para ninguna de las actividades del baremo, es decir, la cantidad para la actividad 192 permanece igual a como se concilió y pagó.   Existen 234 órdenes que se habían conciliado con el acta 005_A, en algunas de ellas SIGMA asignó la cantidad en forma correcta, sin embargo, en otras órdenes de este grupo no se tuvo en cuenta la cantidad originalmente conciliada para adicionarle lo informado en su archivo de este correo, por tanto, la cantidad debe ser modificada en Geolúmina.  Existen 79 órdenes de trabajo que se conciliarán con el Acta 006_A y cuya cantidad presenta la suma entre lo originalmente registrado en Geolúmina y lo informado en su correo, esto quiere decir que no requieren modificaciones.   Para facilitar la asignación de la cantidad real para cada una de las órdenes de trabajo, el valor definitivo que debe presentar cada orden de trabajo se encuentra en la columna I, con nombre de campo Cantidad definitiva en Geolúmina",1032459195,,SS,Codensa,Geolumina,,requiere realizar siguientes ajustes ordenes archivo adjunto horas_informes_cargue xlx existen dos ordenes encuentran cancelada deben dejar existen tres ordenes conciliador facturadas acta_004_a ordenes debe hacer modificación cantidades ninguna actividades baremo decir cantidad actividad permanece igual concilio pago existen ordenes habian conciliado acta a sigma asigno cantidad forma correcta embargo ordenes grupo cuenta cantidad originalmente conciliado adicional informado archivo correo cantidad debe ser modificada geolumina existen ordenes trabajo conciliar acta a cuya cantidad presenta suma originalmente registrado geolumina informado correo quiere decir requieren modificaciones facilitar asignación cantidad real cada ordenes trabajo valor definitivo debe presentar cada orden trabajo encuentra columna i nombre campo cantidad definitiva geolumina
TKT10108,configuracion de GPS de cali 16024,1053830949,,SS,Veolia (antiguo Grupo Sala),Geoaseo,,configuración gps cali
TKT10110,REUNION,1053771474,,,Veolia (antiguo Grupo Sala),Geoaseo,,reunion
TIK1463,Material para la capacitacion de movilidad para los inspectores de calidad. el día 08 de julio de 2019 ,1020714707,Capacitacion de modulo o funcionalidad,US,Codensa,Geolumina,Funcionalidad,material capacitación movilidad inspectores calidad dia julio
TKT11215,Por parte de WSP nos indican que en la orden OT_1028743 algunos elementos  no se encuentran visibles en el mapa y algunas fotografías tampoco estos son algunos de los puntos que se indican desde la cuadrilla.,1032459195,,SS,Codensa,Geolumina,,parte esp indican orden ot_1028743 elementos encuentran visibles mapa fotografias tampoco puntos indican cuadrilla
TKT10114,Correr ots que no pasaron al cubo,1053828550,,SS,Applus Norcontrol Panamá S.A,Geolumina,,correr ots pasaron cubo
TKT8590,Amablemente se solicita de su colaboración para corregir este error en la OT_1000822  y poder realizar la aprobación de la OT en mención.     OT  PUNTO FISICO ERRADO  PUNTO FISICO CORRECTO  OT_1000822  15572628  15575628,1032459195,,SS,Codensa,Geolumina,,amablemente solicita colaboración corregir error ot_1000822 poder realizar aprobación ot mencionó ot punto fisico errado punto fisico correcto ot_1000822
TKT10117,Revisar el widget editar puntos físicos no funciona.,1053860140,,NR,Applus Norcontrol Panamá S.A,Geolumina,,revisar midget editar puntos fisicos funciona
TKT10118,adicionar el Baremo 182 con la Cantidad # 1 a la OT_1005178,1032459195,,SS,Codensa,Geolumina,,adicionar baremo cantidad ot_1005178
TKT10119,extracciòn reporte actualizaciòn y disponibilidad - henry,1058818488,,NR,Codensa,Geolumina,,extracción reporte actualización disponibilidad henry
